ticket_id,title,description,category,priority,resolution_hint,language,source,title_clean,description_clean,text
TRX-1139,Word affiche document corrompu Merci de traiter rapidement.,Impossible d'ouvrir mon rapport.docx. Impact sur mon activité quotidienne.,software,medium,Récupération Word / versions OneDrive.,fr,synthetic_tritux_v1,word affiche document corrompu merci de traiter rapidement.,impossible d ouvrir mon rapport.docx. impact sur mon activité quotidienne.,word affiche document corrompu merci de traiter rapidement. impossible d ouvrir mon rapport.docx. impact sur mon activité quotidienne.
TRX-1190,Zoom / Teams conflit audio Depuis la dernière mise à jour Windows.,Micro non détecté pendant réunion. Aucun changement matériel de mon côté.,software,medium,Permissions Windows privacy + périphérique défaut.,fr,synthetic_tritux_v1,zoom / teams conflit audio depuis la dernière mise à jour windows.,micro non détecté pendant réunion. aucun changement matériel de mon côté.,zoom / teams conflit audio depuis la dernière mise à jour windows. micro non détecté pendant réunion. aucun changement matériel de mon côté.
TRX-1004,Impossible de se connecter au VPN Depuis la dernière mise à jour Windows.,Erreur 'connexion VPN échouée' depuis le télétravail. Client OpenVPN à jour. Aucun changement matériel de mon côté.,network,high,"Vérifier certificat VPN, DNS et firewall.",fr,synthetic_tritux_v1,impossible de se connecter au vpn depuis la dernière mise à jour windows.,erreur connexion vpn échouée depuis le télétravail. client openvpn à jour. aucun changement matériel de mon côté.,impossible de se connecter au vpn depuis la dernière mise à jour windows. erreur connexion vpn échouée depuis le télétravail. client openvpn à jour. aucun changement matériel de mon côté.
TRX-1315,Mails n'arrivent plus en réception Problème reproduit sur 2 postes.,"Boîte vide depuis hier, envoi OK. Captures d'écran disponibles.",email,high,"Règles Outlook, quarantaine, MX.",fr,synthetic_tritux_v1,mails n arrivent plus en réception problème reproduit sur 2 postes.,boîte vide depuis hier envoi ok. captures d écran disponibles.,mails n arrivent plus en réception problème reproduit sur 2 postes. boîte vide depuis hier envoi ok. captures d écran disponibles.
TRX-1158,Adobe Reader ne s'ouvre pas Urgent pour une livraison client.,PDF s'ouvre dans le navigateur uniquement. Deadline aujourd'hui 17h.,software,low,Réparer/réinstaller Acrobat Reader.,fr,synthetic_tritux_v1,adobe reader ne s ouvre pas urgent pour une livraison client.,pdf s ouvre dans le navigateur uniquement. deadline aujourd hui 17h.,adobe reader ne s ouvre pas urgent pour une livraison client. pdf s ouvre dans le navigateur uniquement. deadline aujourd hui 17h.
TRX-1034,Latence élevée sur Teams Depuis la dernière mise à jour Windows.,Appels Teams avec décalage audio important. Aucun changement matériel de mon côté.,network,medium,"Tester bande passante, QoS, fermer VPN split tunnel.",fr,synthetic_tritux_v1,latence élevée sur teams depuis la dernière mise à jour windows.,appels teams avec décalage audio important. aucun changement matériel de mon côté.,latence élevée sur teams depuis la dernière mise à jour windows. appels teams avec décalage audio important. aucun changement matériel de mon côté.
TRX-1037,DNS ne résout pas les sites internes Merci de traiter rapidement.,intranet.tritux.local ne répond pas. Impact sur mon activité quotidienne.,network,high,"Pointer DNS vers contrôleurs Tritux, flushdns.",fr,synthetic_tritux_v1,dns ne résout pas les sites internes merci de traiter rapidement.,intranet.tritux.local ne répond pas. impact sur mon activité quotidienne.,dns ne résout pas les sites internes merci de traiter rapidement. intranet.tritux.local ne répond pas. impact sur mon activité quotidienne.
TRX-1215,Batterie PC portable se décharge vite En télétravail uniquement.,Autonomie < 1h alors que neuve il y a 2 ans. Sur site le problème n'apparaît pas.,hardware,medium,"Diagnostic batterie, remplacement si usée.",fr,synthetic_tritux_v1,batterie pc portable se décharge vite en télétravail uniquement.,autonomie 1h alors que neuve il y a 2 ans. sur site le problème n apparaît pas.,batterie pc portable se décharge vite en télétravail uniquement. autonomie 1h alors que neuve il y a 2 ans. sur site le problème n apparaît pas.
TRX-1387,Demande inventaire matériel Problème reproduit sur 2 postes.,Liste des assets de mon département. Captures d'écran disponibles.,other,low,Extraire depuis CMDB / Intune.,fr,synthetic_tritux_v1,demande inventaire matériel problème reproduit sur 2 postes.,liste des assets de mon département. captures d écran disponibles.,demande inventaire matériel problème reproduit sur 2 postes. liste des assets de mon département. captures d écran disponibles.
TRX-1069,Compte potentiellement compromis Problème reproduit sur 2 postes.,Connexions inhabituelles depuis l'étranger dans les logs. Captures d'écran disponibles.,security,urgent,"Révoquer sessions, reset MDP, MFA obligatoire.",fr,synthetic_tritux_v1,compte potentiellement compromis problème reproduit sur 2 postes.,connexions inhabituelles depuis l étranger dans les logs. captures d écran disponibles.,compte potentiellement compromis problème reproduit sur 2 postes. connexions inhabituelles depuis l étranger dans les logs. captures d écran disponibles.
TRX-1207,Souris sans fil se déconnecte Problème reproduit sur 2 postes.,Dongle Logitech instable. Captures d'écran disponibles.,hardware,low,"Changer piles, port USB, réappairage.",fr,synthetic_tritux_v1,souris sans fil se déconnecte problème reproduit sur 2 postes.,dongle logitech instable. captures d écran disponibles.,souris sans fil se déconnecte problème reproduit sur 2 postes. dongle logitech instable. captures d écran disponibles.
TRX-1355,Règle de redirection suspecte Merci de traiter rapidement.,Mails forward auto vers externe. Impact sur mon activité quotidienne.,email,urgent,"Supprimer règle, reset MDP, audit.",fr,synthetic_tritux_v1,règle de redirection suspecte merci de traiter rapidement.,mails forward auto vers externe. impact sur mon activité quotidienne.,règle de redirection suspecte merci de traiter rapidement. mails forward auto vers externe. impact sur mon activité quotidienne.
TRX-1092,MFA ne fonctionne plus Urgent pour une livraison client.,Codes Authenticator incorrects pour la connexion Office. Deadline aujourd'hui 17h.,security,high,Resynchroniser MFA / réenregistrer appareil.,fr,synthetic_tritux_v1,mfa ne fonctionne plus urgent pour une livraison client.,codes authenticator incorrects pour la connexion office. deadline aujourd hui 17h.,mfa ne fonctionne plus urgent pour une livraison client. codes authenticator incorrects pour la connexion office. deadline aujourd hui 17h.
TRX-1221,PC ne démarre plus En télétravail uniquement.,"Écran noir au power on, ventilateurs tournent. Sur site le problème n'apparaît pas.",hardware,high,"Tester RAM/écran externe, atelier.",fr,synthetic_tritux_v1,pc ne démarre plus en télétravail uniquement.,écran noir au power on ventilateurs tournent. sur site le problème n apparaît pas.,pc ne démarre plus en télétravail uniquement. écran noir au power on ventilateurs tournent. sur site le problème n apparaît pas.
TRX-1433,Alerte connexion RDP inhabituelle - besoin aide,Tentative RDP hors heures. Occurrence #4.,security,urgent,"Bloquer IP, audit compte.",fr,synthetic_tritux_v1,alerte connexion rdp inhabituelle - besoin aide,tentative rdp hors heures. occurrence 4.,alerte connexion rdp inhabituelle - besoin aide tentative rdp hors heures. occurrence 4.
TRX-1269,Demande de création compte prestataire En télétravail uniquement.,Nouveau prestataire a besoin d'un accès mail. Sur site le problème n'apparaît pas.,account,medium,Process onboarding RH + IT.,fr,synthetic_tritux_v1,demande de création compte prestataire en télétravail uniquement.,nouveau prestataire a besoin d un accès mail. sur site le problème n apparaît pas.,demande de création compte prestataire en télétravail uniquement. nouveau prestataire a besoin d un accès mail. sur site le problème n apparaît pas.
TRX-1145,Installation Docker Desktop bloquée Merci de traiter rapidement.,"Besoin Docker pour le projet, droits insuffisants. Impact sur mon activité quotidienne.",software,medium,Demande logiciel + validation sécurité.,fr,synthetic_tritux_v1,installation docker desktop bloquée merci de traiter rapidement.,besoin docker pour le projet droits insuffisants. impact sur mon activité quotidienne.,installation docker desktop bloquée merci de traiter rapidement. besoin docker pour le projet droits insuffisants. impact sur mon activité quotidienne.
TRX-1002,Impossible de se connecter au VPN Urgent pour une livraison client.,Erreur 'connexion VPN échouée' depuis le télétravail. Client OpenVPN à jour. Deadline aujourd'hui 17h.,network,high,"Vérifier certificat VPN, DNS et firewall.",fr,synthetic_tritux_v1,impossible de se connecter au vpn urgent pour une livraison client.,erreur connexion vpn échouée depuis le télétravail. client openvpn à jour. deadline aujourd hui 17h.,impossible de se connecter au vpn urgent pour une livraison client. erreur connexion vpn échouée depuis le télétravail. client openvpn à jour. deadline aujourd hui 17h.
TRX-1395,Question politique télétravail En télétravail uniquement.,Jours autorisés hors site? Sur site le problème n'apparaît pas.,other,low,Consulter RH / intranet.,fr,synthetic_tritux_v1,question politique télétravail en télétravail uniquement.,jours autorisés hors site sur site le problème n apparaît pas.,question politique télétravail en télétravail uniquement. jours autorisés hors site sur site le problème n apparaît pas.
TRX-1077,Alerte antivirus malware détecté En télétravail uniquement.,Windows Defender a mis en quarantaine un fichier.exe téléchargé. Sur site le problème n'apparaît pas.,security,urgent,"Ne pas restaurer, scanner complet, isoler poste.",fr,synthetic_tritux_v1,alerte antivirus malware détecté en télétravail uniquement.,windows defender a mis en quarantaine un fichier.exe téléchargé. sur site le problème n apparaît pas.,alerte antivirus malware détecté en télétravail uniquement. windows defender a mis en quarantaine un fichier.exe téléchargé. sur site le problème n apparaît pas.
TRX-1431,Alerte connexion RDP inhabituelle - besoin aide,Tentative RDP hors heures. Occurrence #2.,security,urgent,"Bloquer IP, audit compte.",fr,synthetic_tritux_v1,alerte connexion rdp inhabituelle - besoin aide,tentative rdp hors heures. occurrence 2.,alerte connexion rdp inhabituelle - besoin aide tentative rdp hors heures. occurrence 2.
TRX-1265,Demande de création compte prestataire Merci de traiter rapidement.,Nouveau prestataire a besoin d'un accès mail. Impact sur mon activité quotidienne.,account,medium,Process onboarding RH + IT.,fr,synthetic_tritux_v1,demande de création compte prestataire merci de traiter rapidement.,nouveau prestataire a besoin d un accès mail. impact sur mon activité quotidienne.,demande de création compte prestataire merci de traiter rapidement. nouveau prestataire a besoin d un accès mail. impact sur mon activité quotidienne.
TRX-1313,Mails n'arrivent plus en réception Merci de traiter rapidement.,"Boîte vide depuis hier, envoi OK. Impact sur mon activité quotidienne.",email,high,"Règles Outlook, quarantaine, MX.",fr,synthetic_tritux_v1,mails n arrivent plus en réception merci de traiter rapidement.,boîte vide depuis hier envoi ok. impact sur mon activité quotidienne.,mails n arrivent plus en réception merci de traiter rapidement. boîte vide depuis hier envoi ok. impact sur mon activité quotidienne.
TRX-1324,Signature email à mettre à jour,Nouvelle signature corporate manquante.,email,low,Déployer signature centralisée.,fr,synthetic_tritux_v1,signature email à mettre à jour,nouvelle signature corporate manquante.,signature email à mettre à jour nouvelle signature corporate manquante.
TRX-1408,Imprimante imprime des pages blanches,Toner semble OK mais sorties blanches. Occurrence #3.,hardware,low,"Tambour/toner, test page.",fr,synthetic_tritux_v1,imprimante imprime des pages blanches,toner semble ok mais sorties blanches. occurrence 3.,imprimante imprime des pages blanches toner semble ok mais sorties blanches. occurrence 3.
TRX-1059,Perte de connexion après veille En télétravail uniquement.,"Après sleep Windows, plus de réseau jusqu'au reboot. Sur site le problème n'apparaît pas.",network,medium,"Mettre à jour pilote NIC, désactiver energy saving.",fr,synthetic_tritux_v1,perte de connexion après veille en télétravail uniquement.,après sleep windows plus de réseau jusqu au reboot. sur site le problème n apparaît pas.,perte de connexion après veille en télétravail uniquement. après sleep windows plus de réseau jusqu au reboot. sur site le problème n apparaît pas.
TRX-1336,Mails partent en spam chez clients,Plaintes SPF/DKIM fail.,email,high,Vérifier enregistrements DNS mail.,fr,synthetic_tritux_v1,mails partent en spam chez clients,plaintes spf/dkim fail.,mails partent en spam chez clients plaintes spf/dkim fail.
TRX-1389,Demande inventaire matériel En télétravail uniquement.,Liste des assets de mon département. Sur site le problème n'apparaît pas.,other,low,Extraire depuis CMDB / Intune.,fr,synthetic_tritux_v1,demande inventaire matériel en télétravail uniquement.,liste des assets de mon département. sur site le problème n apparaît pas.,demande inventaire matériel en télétravail uniquement. liste des assets de mon département. sur site le problème n apparaît pas.
TRX-1173,PowerPoint police manquante En télétravail uniquement.,Présentation avec polices non installées. Sur site le problème n'apparaît pas.,software,low,Installer polices corporate Tritux.,fr,synthetic_tritux_v1,powerpoint police manquante en télétravail uniquement.,présentation avec polices non installées. sur site le problème n apparaît pas.,powerpoint police manquante en télétravail uniquement. présentation avec polices non installées. sur site le problème n apparaît pas.
TRX-1021,Wi-Fi instable au 3ème étage Problème reproduit sur 2 postes.,Le réseau sans fil coupe souvent dans la salle réunion B. Captures d'écran disponibles.,network,medium,"Reset borne AP, vérifier couverture et canaux.",fr,synthetic_tritux_v1,wi-fi instable au 3ème étage problème reproduit sur 2 postes.,le réseau sans fil coupe souvent dans la salle réunion b. captures d écran disponibles.,wi-fi instable au 3ème étage problème reproduit sur 2 postes. le réseau sans fil coupe souvent dans la salle réunion b. captures d écran disponibles.
TRX-1045,Câble RJ45 défectueux poste finance Problème reproduit sur 2 postes.,"Lien ethernet down, LED orange éteinte. Captures d'écran disponibles.",network,low,Remplacer câble et tester port switch.,fr,synthetic_tritux_v1,câble rj45 défectueux poste finance problème reproduit sur 2 postes.,lien ethernet down led orange éteinte. captures d écran disponibles.,câble rj45 défectueux poste finance problème reproduit sur 2 postes. lien ethernet down led orange éteinte. captures d écran disponibles.
TRX-1164,OneDrive synchronisation bloquée Urgent pour une livraison client.,"Icône rouge, fichiers hors ligne non sync. Deadline aujourd'hui 17h.",software,medium,"Reset OneDrive, espace disque, droits.",fr,synthetic_tritux_v1,onedrive synchronisation bloquée urgent pour une livraison client.,icône rouge fichiers hors ligne non sync. deadline aujourd hui 17h.,onedrive synchronisation bloquée urgent pour une livraison client. icône rouge fichiers hors ligne non sync. deadline aujourd hui 17h.
TRX-1109,Certificat SSL invalide sur portail Merci de traiter rapidement.,Navigateur indique certificat non fiable. Impact sur mon activité quotidienne.,security,high,Vérifier horloge système et certificat serveur.,fr,synthetic_tritux_v1,certificat ssl invalide sur portail merci de traiter rapidement.,navigateur indique certificat non fiable. impact sur mon activité quotidienne.,certificat ssl invalide sur portail merci de traiter rapidement. navigateur indique certificat non fiable. impact sur mon activité quotidienne.
TRX-1208,Souris sans fil se déconnecte Depuis la dernière mise à jour Windows.,Dongle Logitech instable. Aucun changement matériel de mon côté.,hardware,low,"Changer piles, port USB, réappairage.",fr,synthetic_tritux_v1,souris sans fil se déconnecte depuis la dernière mise à jour windows.,dongle logitech instable. aucun changement matériel de mon côté.,souris sans fil se déconnecte depuis la dernière mise à jour windows. dongle logitech instable. aucun changement matériel de mon côté.
TRX-1211,Batterie PC portable se décharge vite Merci de traiter rapidement.,Autonomie < 1h alors que neuve il y a 2 ans. Impact sur mon activité quotidienne.,hardware,medium,"Diagnostic batterie, remplacement si usée.",fr,synthetic_tritux_v1,batterie pc portable se décharge vite merci de traiter rapidement.,autonomie 1h alors que neuve il y a 2 ans. impact sur mon activité quotidienne.,batterie pc portable se décharge vite merci de traiter rapidement. autonomie 1h alors que neuve il y a 2 ans. impact sur mon activité quotidienne.
TRX-1089,USB non autorisé bloqué En télétravail uniquement.,Clé USB refusée par la politique de sécurité. Sur site le problème n'apparaît pas.,security,low,"Utiliser OneDrive Tritux, demander exception SI.",fr,synthetic_tritux_v1,usb non autorisé bloqué en télétravail uniquement.,clé usb refusée par la politique de sécurité. sur site le problème n apparaît pas.,usb non autorisé bloqué en télétravail uniquement. clé usb refusée par la politique de sécurité. sur site le problème n apparaît pas.
TRX-1169,PowerPoint police manquante Merci de traiter rapidement.,Présentation avec polices non installées. Impact sur mon activité quotidienne.,software,low,Installer polices corporate Tritux.,fr,synthetic_tritux_v1,powerpoint police manquante merci de traiter rapidement.,présentation avec polices non installées. impact sur mon activité quotidienne.,powerpoint police manquante merci de traiter rapidement. présentation avec polices non installées. impact sur mon activité quotidienne.
TRX-1310,Profil Windows corrompu Depuis la dernière mise à jour Windows.,Impossible de charger le profil local. Aucun changement matériel de mon côté.,account,high,"Nouveau profil temporaire, migration data.",fr,synthetic_tritux_v1,profil windows corrompu depuis la dernière mise à jour windows.,impossible de charger le profil local. aucun changement matériel de mon côté.,profil windows corrompu depuis la dernière mise à jour windows. impossible de charger le profil local. aucun changement matériel de mon côté.
TRX-1006,VPN se déconnecte toutes les 10 minutes,"La session VPN tombe régulièrement, surtout sur Wi-Fi public.",network,high,"Stabiliser la session: keepalive, MTU, éviter captive portal.",fr,synthetic_tritux_v1,vpn se déconnecte toutes les 10 minutes,la session vpn tombe régulièrement surtout sur wi-fi public.,vpn se déconnecte toutes les 10 minutes la session vpn tombe régulièrement surtout sur wi-fi public.
TRX-1061,Email de phishing suspect reçu Merci de traiter rapidement.,Mail demandant de saisir mon mot de passe SSO via un lien externe. Impact sur mon activité quotidienne.,security,urgent,"Ne pas cliquer, signaler phishing, reset MDP si cliqué.",fr,synthetic_tritux_v1,email de phishing suspect reçu merci de traiter rapidement.,mail demandant de saisir mon mot de passe sso via un lien externe. impact sur mon activité quotidienne.,email de phishing suspect reçu merci de traiter rapidement. mail demandant de saisir mon mot de passe sso via un lien externe. impact sur mon activité quotidienne.
TRX-1320,Pièces jointes bloquées Urgent pour une livraison client.,PDF > 10 Mo refusés à l'envoi. Deadline aujourd'hui 17h.,email,medium,"Utiliser OneDrive link, quota PJ.",fr,synthetic_tritux_v1,pièces jointes bloquées urgent pour une livraison client.,pdf 10 mo refusés à l envoi. deadline aujourd hui 17h.,pièces jointes bloquées urgent pour une livraison client. pdf 10 mo refusés à l envoi. deadline aujourd hui 17h.
TRX-1177,Navigateur Chrome très lent Problème reproduit sur 2 postes.,"Onglets se figent, utilisation CPU élevée. Captures d'écran disponibles.",software,medium,"Désactiver extensions, clear cache.",fr,synthetic_tritux_v1,navigateur chrome très lent problème reproduit sur 2 postes.,onglets se figent utilisation cpu élevée. captures d écran disponibles.,navigateur chrome très lent problème reproduit sur 2 postes. onglets se figent utilisation cpu élevée. captures d écran disponibles.
TRX-1303,Alias email non reçu Problème reproduit sur 2 postes.,L'alias prenom.nom2 n'arrive pas. Captures d'écran disponibles.,account,medium,Vérifier proxyAddresses Exchange.,fr,synthetic_tritux_v1,alias email non reçu problème reproduit sur 2 postes.,l alias prenom.nom2 n arrive pas. captures d écran disponibles.,alias email non reçu problème reproduit sur 2 postes. l alias prenom.nom2 n arrive pas. captures d écran disponibles.
TRX-1143,Word affiche document corrompu En télétravail uniquement.,Impossible d'ouvrir mon rapport.docx. Sur site le problème n'apparaît pas.,software,medium,Récupération Word / versions OneDrive.,fr,synthetic_tritux_v1,word affiche document corrompu en télétravail uniquement.,impossible d ouvrir mon rapport.docx. sur site le problème n apparaît pas.,word affiche document corrompu en télétravail uniquement. impossible d ouvrir mon rapport.docx. sur site le problème n apparaît pas.
TRX-1277,Changement de nom suite mariage Merci de traiter rapidement.,Mettre à jour display name et email. Impact sur mon activité quotidienne.,account,low,Ticket identité + sync HRIS.,fr,synthetic_tritux_v1,changement de nom suite mariage merci de traiter rapidement.,mettre à jour display name et email. impact sur mon activité quotidienne.,changement de nom suite mariage merci de traiter rapidement. mettre à jour display name et email. impact sur mon activité quotidienne.
TRX-1391,Question politique télétravail Merci de traiter rapidement.,Jours autorisés hors site? Impact sur mon activité quotidienne.,other,low,Consulter RH / intranet.,fr,synthetic_tritux_v1,question politique télétravail merci de traiter rapidement.,jours autorisés hors site impact sur mon activité quotidienne.,question politique télétravail merci de traiter rapidement. jours autorisés hors site impact sur mon activité quotidienne.
TRX-1276,Changement de nom suite mariage,Mettre à jour display name et email.,account,low,Ticket identité + sync HRIS.,fr,synthetic_tritux_v1,changement de nom suite mariage,mettre à jour display name et email.,changement de nom suite mariage mettre à jour display name et email.
TRX-1153,VS Code extensions manquantes Problème reproduit sur 2 postes.,Environnement de dév incomplet après reset poste. Captures d'écran disponibles.,software,low,Réinstaller pack extensions Tritux.,fr,synthetic_tritux_v1,vs code extensions manquantes problème reproduit sur 2 postes.,environnement de dév incomplet après reset poste. captures d écran disponibles.,vs code extensions manquantes problème reproduit sur 2 postes. environnement de dév incomplet après reset poste. captures d écran disponibles.
TRX-1088,USB non autorisé bloqué Depuis la dernière mise à jour Windows.,Clé USB refusée par la politique de sécurité. Aucun changement matériel de mon côté.,security,low,"Utiliser OneDrive Tritux, demander exception SI.",fr,synthetic_tritux_v1,usb non autorisé bloqué depuis la dernière mise à jour windows.,clé usb refusée par la politique de sécurité. aucun changement matériel de mon côté.,usb non autorisé bloqué depuis la dernière mise à jour windows. clé usb refusée par la politique de sécurité. aucun changement matériel de mon côté.
TRX-1218,PC ne démarre plus Urgent pour une livraison client.,"Écran noir au power on, ventilateurs tournent. Deadline aujourd'hui 17h.",hardware,high,"Tester RAM/écran externe, atelier.",fr,synthetic_tritux_v1,pc ne démarre plus urgent pour une livraison client.,écran noir au power on ventilateurs tournent. deadline aujourd hui 17h.,pc ne démarre plus urgent pour une livraison client. écran noir au power on ventilateurs tournent. deadline aujourd hui 17h.
