ticket_id,title,description,category,priority,resolution_hint,language,source
TRX-1160,Adobe Reader ne s'ouvre pas Depuis la dernière mise à jour Windows.,PDF s'ouvre dans le navigateur uniquement. Aucun changement matériel de mon côté.,software,low,Réparer/réinstaller Acrobat Reader.,fr,synthetic_tritux_v1
TRX-1318,Pièces jointes bloquées,PDF > 10 Mo refusés à l'envoi.,email,medium,"Utiliser OneDrive link, quota PJ.",fr,synthetic_tritux_v1
TRX-1011,VPN se déconnecte toutes les 10 minutes En télétravail uniquement.,"La session VPN tombe régulièrement, surtout sur Wi-Fi public. Sur site le problème n'apparaît pas.",network,high,"Stabiliser la session: keepalive, MTU, éviter captive portal.",fr,synthetic_tritux_v1
TRX-1139,Word affiche document corrompu Merci de traiter rapidement.,Impossible d'ouvrir mon rapport.docx. Impact sur mon activité quotidienne.,software,medium,Récupération Word / versions OneDrive.,fr,synthetic_tritux_v1
TRX-1190,Zoom / Teams conflit audio Depuis la dernière mise à jour Windows.,Micro non détecté pendant réunion. Aucun changement matériel de mon côté.,software,medium,Permissions Windows privacy + périphérique défaut.,fr,synthetic_tritux_v1
TRX-1004,Impossible de se connecter au VPN Depuis la dernière mise à jour Windows.,Erreur 'connexion VPN échouée' depuis le télétravail. Client OpenVPN à jour. Aucun changement matériel de mon côté.,network,high,"Vérifier certificat VPN, DNS et firewall.",fr,synthetic_tritux_v1
TRX-1315,Mails n'arrivent plus en réception Problème reproduit sur 2 postes.,"Boîte vide depuis hier, envoi OK. Captures d'écran disponibles.",email,high,"Règles Outlook, quarantaine, MX.",fr,synthetic_tritux_v1
TRX-1158,Adobe Reader ne s'ouvre pas Urgent pour une livraison client.,PDF s'ouvre dans le navigateur uniquement. Deadline aujourd'hui 17h.,software,low,Réparer/réinstaller Acrobat Reader.,fr,synthetic_tritux_v1
TRX-1034,Latence élevée sur Teams Depuis la dernière mise à jour Windows.,Appels Teams avec décalage audio important. Aucun changement matériel de mon côté.,network,medium,"Tester bande passante, QoS, fermer VPN split tunnel.",fr,synthetic_tritux_v1
TRX-1037,DNS ne résout pas les sites internes Merci de traiter rapidement.,intranet.tritux.local ne répond pas. Impact sur mon activité quotidienne.,network,high,"Pointer DNS vers contrôleurs Tritux, flushdns.",fr,synthetic_tritux_v1
TRX-1215,Batterie PC portable se décharge vite En télétravail uniquement.,Autonomie < 1h alors que neuve il y a 2 ans. Sur site le problème n'apparaît pas.,hardware,medium,"Diagnostic batterie, remplacement si usée.",fr,synthetic_tritux_v1
TRX-1387,Demande inventaire matériel Problème reproduit sur 2 postes.,Liste des assets de mon département. Captures d'écran disponibles.,other,low,Extraire depuis CMDB / Intune.,fr,synthetic_tritux_v1
TRX-1069,Compte potentiellement compromis Problème reproduit sur 2 postes.,Connexions inhabituelles depuis l'étranger dans les logs. Captures d'écran disponibles.,security,urgent,"Révoquer sessions, reset MDP, MFA obligatoire.",fr,synthetic_tritux_v1
TRX-1207,Souris sans fil se déconnecte Problème reproduit sur 2 postes.,Dongle Logitech instable. Captures d'écran disponibles.,hardware,low,"Changer piles, port USB, réappairage.",fr,synthetic_tritux_v1
TRX-1355,Règle de redirection suspecte Merci de traiter rapidement.,Mails forward auto vers externe. Impact sur mon activité quotidienne.,email,urgent,"Supprimer règle, reset MDP, audit.",fr,synthetic_tritux_v1
TRX-1092,MFA ne fonctionne plus Urgent pour une livraison client.,Codes Authenticator incorrects pour la connexion Office. Deadline aujourd'hui 17h.,security,high,Resynchroniser MFA / réenregistrer appareil.,fr,synthetic_tritux_v1
TRX-1221,PC ne démarre plus En télétravail uniquement.,"Écran noir au power on, ventilateurs tournent. Sur site le problème n'apparaît pas.",hardware,high,"Tester RAM/écran externe, atelier.",fr,synthetic_tritux_v1
TRX-1433,Alerte connexion RDP inhabituelle - besoin aide,Tentative RDP hors heures. Occurrence #4.,security,urgent,"Bloquer IP, audit compte.",fr,synthetic_tritux_v1
TRX-1269,Demande de création compte prestataire En télétravail uniquement.,Nouveau prestataire a besoin d'un accès mail. Sur site le problème n'apparaît pas.,account,medium,Process onboarding RH + IT.,fr,synthetic_tritux_v1
TRX-1145,Installation Docker Desktop bloquée Merci de traiter rapidement.,"Besoin Docker pour le projet, droits insuffisants. Impact sur mon activité quotidienne.",software,medium,Demande logiciel + validation sécurité.,fr,synthetic_tritux_v1
TRX-1002,Impossible de se connecter au VPN Urgent pour une livraison client.,Erreur 'connexion VPN échouée' depuis le télétravail. Client OpenVPN à jour. Deadline aujourd'hui 17h.,network,high,"Vérifier certificat VPN, DNS et firewall.",fr,synthetic_tritux_v1
TRX-1395,Question politique télétravail En télétravail uniquement.,Jours autorisés hors site? Sur site le problème n'apparaît pas.,other,low,Consulter RH / intranet.,fr,synthetic_tritux_v1
TRX-1077,Alerte antivirus malware détecté En télétravail uniquement.,Windows Defender a mis en quarantaine un fichier.exe téléchargé. Sur site le problème n'apparaît pas.,security,urgent,"Ne pas restaurer, scanner complet, isoler poste.",fr,synthetic_tritux_v1
TRX-1431,Alerte connexion RDP inhabituelle - besoin aide,Tentative RDP hors heures. Occurrence #2.,security,urgent,"Bloquer IP, audit compte.",fr,synthetic_tritux_v1
TRX-1265,Demande de création compte prestataire Merci de traiter rapidement.,Nouveau prestataire a besoin d'un accès mail. Impact sur mon activité quotidienne.,account,medium,Process onboarding RH + IT.,fr,synthetic_tritux_v1
TRX-1313,Mails n'arrivent plus en réception Merci de traiter rapidement.,"Boîte vide depuis hier, envoi OK. Impact sur mon activité quotidienne.",email,high,"Règles Outlook, quarantaine, MX.",fr,synthetic_tritux_v1
TRX-1324,Signature email à mettre à jour,Nouvelle signature corporate manquante.,email,low,Déployer signature centralisée.,fr,synthetic_tritux_v1
TRX-1408,Imprimante imprime des pages blanches,Toner semble OK mais sorties blanches. Occurrence #3.,hardware,low,"Tambour/toner, test page.",fr,synthetic_tritux_v1
TRX-1059,Perte de connexion après veille En télétravail uniquement.,"Après sleep Windows, plus de réseau jusqu'au reboot. Sur site le problème n'apparaît pas.",network,medium,"Mettre à jour pilote NIC, désactiver energy saving.",fr,synthetic_tritux_v1
TRX-1336,Mails partent en spam chez clients,Plaintes SPF/DKIM fail.,email,high,Vérifier enregistrements DNS mail.,fr,synthetic_tritux_v1
TRX-1389,Demande inventaire matériel En télétravail uniquement.,Liste des assets de mon département. Sur site le problème n'apparaît pas.,other,low,Extraire depuis CMDB / Intune.,fr,synthetic_tritux_v1
TRX-1173,PowerPoint police manquante En télétravail uniquement.,Présentation avec polices non installées. Sur site le problème n'apparaît pas.,software,low,Installer polices corporate Tritux.,fr,synthetic_tritux_v1
TRX-1021,Wi-Fi instable au 3ème étage Problème reproduit sur 2 postes.,Le réseau sans fil coupe souvent dans la salle réunion B. Captures d'écran disponibles.,network,medium,"Reset borne AP, vérifier couverture et canaux.",fr,synthetic_tritux_v1
TRX-1045,Câble RJ45 défectueux poste finance Problème reproduit sur 2 postes.,"Lien ethernet down, LED orange éteinte. Captures d'écran disponibles.",network,low,Remplacer câble et tester port switch.,fr,synthetic_tritux_v1
TRX-1164,OneDrive synchronisation bloquée Urgent pour une livraison client.,"Icône rouge, fichiers hors ligne non sync. Deadline aujourd'hui 17h.",software,medium,"Reset OneDrive, espace disque, droits.",fr,synthetic_tritux_v1
TRX-1109,Certificat SSL invalide sur portail Merci de traiter rapidement.,Navigateur indique certificat non fiable. Impact sur mon activité quotidienne.,security,high,Vérifier horloge système et certificat serveur.,fr,synthetic_tritux_v1
TRX-1208,Souris sans fil se déconnecte Depuis la dernière mise à jour Windows.,Dongle Logitech instable. Aucun changement matériel de mon côté.,hardware,low,"Changer piles, port USB, réappairage.",fr,synthetic_tritux_v1
TRX-1211,Batterie PC portable se décharge vite Merci de traiter rapidement.,Autonomie < 1h alors que neuve il y a 2 ans. Impact sur mon activité quotidienne.,hardware,medium,"Diagnostic batterie, remplacement si usée.",fr,synthetic_tritux_v1
TRX-1089,USB non autorisé bloqué En télétravail uniquement.,Clé USB refusée par la politique de sécurité. Sur site le problème n'apparaît pas.,security,low,"Utiliser OneDrive Tritux, demander exception SI.",fr,synthetic_tritux_v1
TRX-1169,PowerPoint police manquante Merci de traiter rapidement.,Présentation avec polices non installées. Impact sur mon activité quotidienne.,software,low,Installer polices corporate Tritux.,fr,synthetic_tritux_v1
TRX-1310,Profil Windows corrompu Depuis la dernière mise à jour Windows.,Impossible de charger le profil local. Aucun changement matériel de mon côté.,account,high,"Nouveau profil temporaire, migration data.",fr,synthetic_tritux_v1
TRX-1006,VPN se déconnecte toutes les 10 minutes,"La session VPN tombe régulièrement, surtout sur Wi-Fi public.",network,high,"Stabiliser la session: keepalive, MTU, éviter captive portal.",fr,synthetic_tritux_v1
TRX-1061,Email de phishing suspect reçu Merci de traiter rapidement.,Mail demandant de saisir mon mot de passe SSO via un lien externe. Impact sur mon activité quotidienne.,security,urgent,"Ne pas cliquer, signaler phishing, reset MDP si cliqué.",fr,synthetic_tritux_v1
TRX-1320,Pièces jointes bloquées Urgent pour une livraison client.,PDF > 10 Mo refusés à l'envoi. Deadline aujourd'hui 17h.,email,medium,"Utiliser OneDrive link, quota PJ.",fr,synthetic_tritux_v1
TRX-1177,Navigateur Chrome très lent Problème reproduit sur 2 postes.,"Onglets se figent, utilisation CPU élevée. Captures d'écran disponibles.",software,medium,"Désactiver extensions, clear cache.",fr,synthetic_tritux_v1
TRX-1303,Alias email non reçu Problème reproduit sur 2 postes.,L'alias prenom.nom2 n'arrive pas. Captures d'écran disponibles.,account,medium,Vérifier proxyAddresses Exchange.,fr,synthetic_tritux_v1
TRX-1143,Word affiche document corrompu En télétravail uniquement.,Impossible d'ouvrir mon rapport.docx. Sur site le problème n'apparaît pas.,software,medium,Récupération Word / versions OneDrive.,fr,synthetic_tritux_v1
TRX-1277,Changement de nom suite mariage Merci de traiter rapidement.,Mettre à jour display name et email. Impact sur mon activité quotidienne.,account,low,Ticket identité + sync HRIS.,fr,synthetic_tritux_v1
TRX-1391,Question politique télétravail Merci de traiter rapidement.,Jours autorisés hors site? Impact sur mon activité quotidienne.,other,low,Consulter RH / intranet.,fr,synthetic_tritux_v1
TRX-1276,Changement de nom suite mariage,Mettre à jour display name et email.,account,low,Ticket identité + sync HRIS.,fr,synthetic_tritux_v1
TRX-1153,VS Code extensions manquantes Problème reproduit sur 2 postes.,Environnement de dév incomplet après reset poste. Captures d'écran disponibles.,software,low,Réinstaller pack extensions Tritux.,fr,synthetic_tritux_v1
TRX-1088,USB non autorisé bloqué Depuis la dernière mise à jour Windows.,Clé USB refusée par la politique de sécurité. Aucun changement matériel de mon côté.,security,low,"Utiliser OneDrive Tritux, demander exception SI.",fr,synthetic_tritux_v1
TRX-1218,PC ne démarre plus Urgent pour une livraison client.,"Écran noir au power on, ventilateurs tournent. Deadline aujourd'hui 17h.",hardware,high,"Tester RAM/écran externe, atelier.",fr,synthetic_tritux_v1
TRX-1020,Wi-Fi instable au 3ème étage Urgent pour une livraison client.,Le réseau sans fil coupe souvent dans la salle réunion B. Deadline aujourd'hui 17h.,network,medium,"Reset borne AP, vérifier couverture et canaux.",fr,synthetic_tritux_v1
TRX-1351,Quota boîte mail saturé Problème reproduit sur 2 postes.,"Impossible de recevoir, 99 Go utilisés. Captures d'écran disponibles.",email,medium,Archivage online + purge.,fr,synthetic_tritux_v1
TRX-1394,Question politique télétravail Depuis la dernière mise à jour Windows.,Jours autorisés hors site? Aucun changement matériel de mon côté.,other,low,Consulter RH / intranet.,fr,synthetic_tritux_v1
TRX-1422,Erreur OneNote sync,Bloc-notes ne se synchronise plus.,software,low,Repair OneNote / Sign-out.,fr,synthetic_tritux_v1
TRX-1180,Erreur licence Office 365,Produit non licencié après changement de poste.,software,high,Réactiver licence via compte Tritux.,fr,synthetic_tritux_v1
TRX-1428,Demande accès GitLab,Nouveau développeur sans accès dépôt. Occurrence #3.,account,medium,Ajouter groupe gitlab-devs.,fr,synthetic_tritux_v1
TRX-1096,Ransomware suspicion fichiers chiffrés,Extensions .locked apparues sur mon dossier Documents.,security,urgent,"Débrancher réseau immédiatement, alerter SOC.",fr,synthetic_tritux_v1
TRX-1093,MFA ne fonctionne plus Problème reproduit sur 2 postes.,Codes Authenticator incorrects pour la connexion Office. Captures d'écran disponibles.,security,high,Resynchroniser MFA / réenregistrer appareil.,fr,synthetic_tritux_v1
TRX-1257,Mot de passe SSO expiré En télétravail uniquement.,"Impossible de se connecter, MDP expiré. Sur site le problème n'apparaît pas.",account,high,Reset via self-service ou agent identité.,fr,synthetic_tritux_v1
TRX-1175,Navigateur Chrome très lent Merci de traiter rapidement.,"Onglets se figent, utilisation CPU élevée. Impact sur mon activité quotidienne.",software,medium,"Désactiver extensions, clear cache.",fr,synthetic_tritux_v1
TRX-1068,Compte potentiellement compromis Urgent pour une livraison client.,Connexions inhabituelles depuis l'étranger dans les logs. Deadline aujourd'hui 17h.,security,urgent,"Révoquer sessions, reset MDP, MFA obligatoire.",fr,synthetic_tritux_v1
TRX-1187,Zoom / Teams conflit audio Merci de traiter rapidement.,Micro non détecté pendant réunion. Impact sur mon activité quotidienne.,software,medium,Permissions Windows privacy + périphérique défaut.,fr,synthetic_tritux_v1
TRX-1130,Excel plante à l'ouverture d'un fichier Depuis la dernière mise à jour Windows.,Fichier macro .xlsm provoque un crash Excel. Aucun changement matériel de mon côté.,software,medium,"Ouvrir sans macro, réparer fichier, MAJ Office.",fr,synthetic_tritux_v1
TRX-1149,Installation Docker Desktop bloquée En télétravail uniquement.,"Besoin Docker pour le projet, droits insuffisants. Sur site le problème n'apparaît pas.",software,medium,Demande logiciel + validation sécurité.,fr,synthetic_tritux_v1
TRX-1356,Règle de redirection suspecte Urgent pour une livraison client.,Mails forward auto vers externe. Deadline aujourd'hui 17h.,email,urgent,"Supprimer règle, reset MDP, audit.",fr,synthetic_tritux_v1
TRX-1348,Quota boîte mail saturé,"Impossible de recevoir, 99 Go utilisés.",email,medium,Archivage online + purge.,fr,synthetic_tritux_v1
TRX-1217,PC ne démarre plus Merci de traiter rapidement.,"Écran noir au power on, ventilateurs tournent. Impact sur mon activité quotidienne.",hardware,high,"Tester RAM/écran externe, atelier.",fr,synthetic_tritux_v1
TRX-1268,Demande de création compte prestataire Depuis la dernière mise à jour Windows.,Nouveau prestataire a besoin d'un accès mail. Aucun changement matériel de mon côté.,account,medium,Process onboarding RH + IT.,fr,synthetic_tritux_v1
TRX-1233,Webcam intégrée noire En télétravail uniquement.,Caméra allumée mais image noire dans Teams. Sur site le problème n'apparaît pas.,hardware,medium,"Réinstaller pilote caméra, privacy settings.",fr,synthetic_tritux_v1
TRX-1212,Batterie PC portable se décharge vite Urgent pour une livraison client.,Autonomie < 1h alors que neuve il y a 2 ans. Deadline aujourd'hui 17h.,hardware,medium,"Diagnostic batterie, remplacement si usée.",fr,synthetic_tritux_v1
TRX-1038,DNS ne résout pas les sites internes Urgent pour une livraison client.,intranet.tritux.local ne répond pas. Deadline aujourd'hui 17h.,network,high,"Pointer DNS vers contrôleurs Tritux, flushdns.",fr,synthetic_tritux_v1
TRX-1347,Calendrier Teams non synchronisé En télétravail uniquement.,RDV Outlook absents de Teams. Sur site le problème n'apparaît pas.,email,medium,Repair sync M365 calendar.,fr,synthetic_tritux_v1
TRX-1198,Clavier certain touches mortes,Touches E et R ne répondent plus.,hardware,low,Nettoyage / remplacement clavier.,fr,synthetic_tritux_v1
TRX-1225,Imprimante bureau n'imprime pas Problème reproduit sur 2 postes.,"Travaux en file d'attente, status offline. Captures d'écran disponibles.",hardware,medium,"Redémarrer spooler, vérifier IP imprimante.",fr,synthetic_tritux_v1
TRX-1050,Proxy bloque certains sites pro Urgent pour une livraison client.,Accès refusé via proxy pour un outil SaaS métier. Deadline aujourd'hui 17h.,network,medium,Demander exception proxy / whitelist.,fr,synthetic_tritux_v1
TRX-1144,Installation Docker Desktop bloquée,"Besoin Docker pour le projet, droits insuffisants.",software,medium,Demande logiciel + validation sécurité.,fr,synthetic_tritux_v1
TRX-1409,Imprimante imprime des pages blanches - besoin aide,Toner semble OK mais sorties blanches. Occurrence #4.,hardware,low,"Tambour/toner, test page.",fr,synthetic_tritux_v1
TRX-1100,Ransomware suspicion fichiers chiffrés Depuis la dernière mise à jour Windows.,Extensions .locked apparues sur mon dossier Documents. Aucun changement matériel de mon côté.,security,urgent,"Débrancher réseau immédiatement, alerter SOC.",fr,synthetic_tritux_v1
TRX-1281,Changement de nom suite mariage En télétravail uniquement.,Mettre à jour display name et email. Sur site le problème n'apparaît pas.,account,low,Ticket identité + sync HRIS.,fr,synthetic_tritux_v1
TRX-1085,USB non autorisé bloqué Merci de traiter rapidement.,Clé USB refusée par la politique de sécurité. Impact sur mon activité quotidienne.,security,low,"Utiliser OneDrive Tritux, demander exception SI.",fr,synthetic_tritux_v1
TRX-1026,Impossible d'accéder au partage réseau Urgent pour une livraison client.,"\\tritux-fs01\projets inaccessible, erreur d'accès refusé. Deadline aujourd'hui 17h.",network,medium,Vérifier droits SMB et VPN si hors site.,fr,synthetic_tritux_v1
TRX-1200,Clavier certain touches mortes Urgent pour une livraison client.,Touches E et R ne répondent plus. Deadline aujourd'hui 17h.,hardware,low,Nettoyage / remplacement clavier.,fr,synthetic_tritux_v1
TRX-1127,Excel plante à l'ouverture d'un fichier Merci de traiter rapidement.,Fichier macro .xlsm provoque un crash Excel. Impact sur mon activité quotidienne.,software,medium,"Ouvrir sans macro, réparer fichier, MAJ Office.",fr,synthetic_tritux_v1
TRX-1066,Compte potentiellement compromis,Connexions inhabituelles depuis l'étranger dans les logs.,security,urgent,"Révoquer sessions, reset MDP, MFA obligatoire.",fr,synthetic_tritux_v1
TRX-1340,Mails partent en spam chez clients Depuis la dernière mise à jour Windows.,Plaintes SPF/DKIM fail. Aucun changement matériel de mon côté.,email,high,Vérifier enregistrements DNS mail.,fr,synthetic_tritux_v1
TRX-1363,Distribution list non à jour Problème reproduit sur 2 postes.,Liste all-staff contient anciens employés. Captures d'écran disponibles.,email,low,Sync HR + nettoyage DL.,fr,synthetic_tritux_v1
TRX-1209,Souris sans fil se déconnecte En télétravail uniquement.,Dongle Logitech instable. Sur site le problème n'apparaît pas.,hardware,low,"Changer piles, port USB, réappairage.",fr,synthetic_tritux_v1
TRX-1053,Proxy bloque certains sites pro En télétravail uniquement.,Accès refusé via proxy pour un outil SaaS métier. Sur site le problème n'apparaît pas.,network,medium,Demander exception proxy / whitelist.,fr,synthetic_tritux_v1
TRX-1151,VS Code extensions manquantes Merci de traiter rapidement.,Environnement de dév incomplet après reset poste. Impact sur mon activité quotidienne.,software,low,Réinstaller pack extensions Tritux.,fr,synthetic_tritux_v1
TRX-1244,Dock USB-C non détecté Depuis la dernière mise à jour Windows.,Écrans externes ne s'allument plus via dock. Aucun changement matériel de mon côté.,hardware,medium,"MAJ firmware dock, tester autre câble.",fr,synthetic_tritux_v1
TRX-1249,Casque audio crackle Problème reproduit sur 2 postes.,Bruits parasites sur casque USB. Captures d'écran disponibles.,hardware,low,"Changer port USB, pilote audio.",fr,synthetic_tritux_v1
TRX-1184,Erreur licence Office 365 Depuis la dernière mise à jour Windows.,Produit non licencié après changement de poste. Aucun changement matériel de mon côté.,software,high,Réactiver licence via compte Tritux.,fr,synthetic_tritux_v1
TRX-1074,Alerte antivirus malware détecté Urgent pour une livraison client.,Windows Defender a mis en quarantaine un fichier.exe téléchargé. Deadline aujourd'hui 17h.,security,urgent,"Ne pas restaurer, scanner complet, isoler poste.",fr,synthetic_tritux_v1
TRX-1031,Latence élevée sur Teams Merci de traiter rapidement.,Appels Teams avec décalage audio important. Impact sur mon activité quotidienne.,network,medium,"Tester bande passante, QoS, fermer VPN split tunnel.",fr,synthetic_tritux_v1
TRX-1072,Alerte antivirus malware détecté,Windows Defender a mis en quarantaine un fichier.exe téléchargé.,security,urgent,"Ne pas restaurer, scanner complet, isoler poste.",fr,synthetic_tritux_v1
TRX-1133,Teams ne rejoint pas les réunions Merci de traiter rapidement.,"Bouton Rejoindre grisé, erreur média. Impact sur mon activité quotidienne.",software,medium,"Clear cache Teams, réinstaller client.",fr,synthetic_tritux_v1
TRX-1314,Mails n'arrivent plus en réception Urgent pour une livraison client.,"Boîte vide depuis hier, envoi OK. Deadline aujourd'hui 17h.",email,high,"Règles Outlook, quarantaine, MX.",fr,synthetic_tritux_v1
TRX-1228,Webcam intégrée noire,Caméra allumée mais image noire dans Teams.,hardware,medium,"Réinstaller pilote caméra, privacy settings.",fr,synthetic_tritux_v1
TRX-1188,Zoom / Teams conflit audio Urgent pour une livraison client.,Micro non détecté pendant réunion. Deadline aujourd'hui 17h.,software,medium,Permissions Windows privacy + périphérique défaut.,fr,synthetic_tritux_v1
TRX-1240,Dock USB-C non détecté,Écrans externes ne s'allument plus via dock.,hardware,medium,"MAJ firmware dock, tester autre câble.",fr,synthetic_tritux_v1
TRX-1120,Outlook ne démarre plus,Outlook plante au lancement avec erreur 0x8004010F.,software,high,"Réparer Office, mode sans échec, nouveau profil.",fr,synthetic_tritux_v1
TRX-1076,Alerte antivirus malware détecté Depuis la dernière mise à jour Windows.,Windows Defender a mis en quarantaine un fichier.exe téléchargé. Aucun changement matériel de mon côté.,security,urgent,"Ne pas restaurer, scanner complet, isoler poste.",fr,synthetic_tritux_v1
TRX-1210,Batterie PC portable se décharge vite,Autonomie < 1h alors que neuve il y a 2 ans.,hardware,medium,"Diagnostic batterie, remplacement si usée.",fr,synthetic_tritux_v1
TRX-1156,Adobe Reader ne s'ouvre pas,PDF s'ouvre dans le navigateur uniquement.,software,low,Réparer/réinstaller Acrobat Reader.,fr,synthetic_tritux_v1
TRX-1411,Connexion SSO lente - besoin aide,Login Azure AD prend plus de 2 minutes. Occurrence #2.,account,medium,Vérifier réseau et MFA latency.,fr,synthetic_tritux_v1
TRX-1010,VPN se déconnecte toutes les 10 minutes Depuis la dernière mise à jour Windows.,"La session VPN tombe régulièrement, surtout sur Wi-Fi public. Aucun changement matériel de mon côté.",network,high,"Stabiliser la session: keepalive, MTU, éviter captive portal.",fr,synthetic_tritux_v1
TRX-1380,Réservation salle réunion outil Urgent pour une livraison client.,Comment réserver la salle Innovate? Deadline aujourd'hui 17h.,other,low,Utiliser Outlook room finder.,fr,synthetic_tritux_v1
TRX-1129,Excel plante à l'ouverture d'un fichier Problème reproduit sur 2 postes.,Fichier macro .xlsm provoque un crash Excel. Captures d'écran disponibles.,software,medium,"Ouvrir sans macro, réparer fichier, MAJ Office.",fr,synthetic_tritux_v1
TRX-1007,VPN se déconnecte toutes les 10 minutes Merci de traiter rapidement.,"La session VPN tombe régulièrement, surtout sur Wi-Fi public. Impact sur mon activité quotidienne.",network,high,"Stabiliser la session: keepalive, MTU, éviter captive portal.",fr,synthetic_tritux_v1
TRX-1261,Compte verrouillé après tentatives Problème reproduit sur 2 postes.,"Trop d'échecs de connexion, compte lock. Captures d'écran disponibles.",account,high,Unlock Active Directory / Azure AD.,fr,synthetic_tritux_v1
TRX-1296,Double authentification à configurer Urgent pour une livraison client.,Onboarding: activer MFA obligatoire. Deadline aujourd'hui 17h.,account,medium,Guide enrollment Authenticator.,fr,synthetic_tritux_v1
TRX-1264,Demande de création compte prestataire,Nouveau prestataire a besoin d'un accès mail.,account,medium,Process onboarding RH + IT.,fr,synthetic_tritux_v1
TRX-1159,Adobe Reader ne s'ouvre pas Problème reproduit sur 2 postes.,PDF s'ouvre dans le navigateur uniquement. Captures d'écran disponibles.,software,low,Réparer/réinstaller Acrobat Reader.,fr,synthetic_tritux_v1
TRX-1375,Demande formation Excel avancé Problème reproduit sur 2 postes.,Souhait formation tableaux croisés. Captures d'écran disponibles.,other,low,Orienter catalogue formation Tritux.,fr,synthetic_tritux_v1
TRX-1286,Désactivation compte collaborateur sorti Depuis la dernière mise à jour Windows.,Offboarding: désactiver compte demain 18h. Aucun changement matériel de mon côté.,account,high,Checklist offboarding AD/M365.,fr,synthetic_tritux_v1
TRX-1368,Erreur NDR 5.7.1 Urgent pour une livraison client.,Envoi interne refusé avec NDR. Deadline aujourd'hui 17h.,email,medium,Permissions send-as / connector.,fr,synthetic_tritux_v1
TRX-1014,Pas d'accès Internet sur le poste Urgent pour une livraison client.,Plus de navigation web ni ping 8.8.8.8 depuis ce matin. Deadline aujourd'hui 17h.,network,high,"Vérifier câble/Wi-Fi, DHCP, proxy Tritux.",fr,synthetic_tritux_v1
TRX-1055,Perte de connexion après veille Merci de traiter rapidement.,"Après sleep Windows, plus de réseau jusqu'au reboot. Impact sur mon activité quotidienne.",network,medium,"Mettre à jour pilote NIC, désactiver energy saving.",fr,synthetic_tritux_v1
